Year,Country,Athlete,Sport,Event,Medal
1988,Australia,Athlete_365,Wrestling,Wrestling Event 9,Bronze
1988,Australia,Athlete_411,Boxing,Boxing Event 10,Silver
1988,Australia,Athlete_477,Swimming,Swimming Event 2,Silver
1988,Germany,Athlete_63,Rowing,Rowing Event 6,Silver
1988,Canada,Athlete_431,Judo,Judo Event 2,Silver
1988,Italy,Athlete_111,Gymnastics,Gymnastics Event 1,Gold
1988,Japan,Athlete_13,Athletics,Athletics Event 6,Bronze
1988,Canada,Athlete_433,Shooting,Shooting Event 5,Silver
1988,China,Athlete_27,Shooting,Shooting Event 3,Gold
1988,Italy,Athlete_133,Wrestling,Wrestling Event 9,Silver
1988,Germany,Athlete_172,Cycling,Cycling Event 7,Silver
1988,UK,Athlete_159,Gymnastics,Gymnastics Event 4,Silver
1988,Russia,Athlete_176,Gymnastics,Gymnastics Event 10,Gold
1988,France,Athlete_322,Cycling,Cycling Event 6,Gold
1988,Italy,Athlete_98,Shooting,Shooting Event 2,Gold
1988,China,Athlete_371,Shooting,Shooting Event 10,Gold
1988,Canada,Athlete_358,Rowing,Rowing Event 7,Bronze
1988,Germany,Athlete_471,Shooting,Shooting Event 4,Bronze
1988,USA,Athlete_388,Swimming,Swimming Event 1,Silver
1988,UK,Athlete_412,Wrestling,Wrestling Event 7,Bronze
1988,USA,Athlete_390,Gymnastics,Gymnastics Event 3,Silver
1988,China,Athlete_187,Shooting,Shooting Event 8,Bronze
1988,USA,Athlete_110,Wrestling,Wrestling Event 5,Bronze
1988,China,Athlete_354,Rowing,Rowing Event 6,Silver
1988,Australia,Athlete_42,Athletics,Athletics Event 2,Gold
1988,UK,Athlete_142,Rowing,Rowing Event 2,Bronze
1988,Japan,Athlete_486,Gymnastics,Gymnastics Event 3,Silver
1988,USA,Athlete_395,Athletics,Athletics Event 7,Gold
1988,Canada,Athlete_182,Fencing,Fencing Event 2,Silver
1988,Italy,Athlete_373,Fencing,Fencing Event 4,Silver
1988,Russia,Athlete_451,Fencing,Fencing Event 8,Silver
1988,France,Athlete_285,Gymnastics,Gymnastics Event 8,Silver
1988,Canada,Athlete_490,Swimming,Swimming Event 9,Gold
1988,Australia,Athlete_360,Boxing,Boxing Event 7,Silver
1988,USA,Athlete_179,Boxing,Boxing Event 3,Bronze
1988,Australia,Athlete_398,Shooting,Shooting Event 9,Silver
1988,Australia,Athlete_5,Shooting,Shooting Event 4,Silver
1988,Australia,Athlete_385,Swimming,Swimming Event 7,Silver
1988,Germany,Athlete_281,Gymnastics,Gymnastics Event 4,Gold
1988,Italy,Athlete_487,Athletics,Athletics Event 8,Gold
1988,UK,Athlete_499,Gymnastics,Gymnastics Event 7,Gold
1988,Russia,Athlete_328,Judo,Judo Event 3,Gold
1988,Russia,Athlete_361,Rowing,Rowing Event 3,Gold
1988,Australia,Athlete_198,Shooting,Shooting Event 1,Silver
1988,Germany,Athlete_363,Rowing,Rowing Event 7,Silver
1988,USA,Athlete_191,Boxing,Boxing Event 5,Bronze
1988,Canada,Athlete_443,Fencing,Fencing Event 1,Gold
1988,France,Athlete_351,Swimming,Swimming Event 10,Bronze
1988,France,Athlete_8,Judo,Judo Event 5,Silver
1988,Japan,Athlete_49,Athletics,Athletics Event 2,Bronze
1988,Italy,Athlete_199,Athletics,Athletics Event 8,Bronze
1988,Italy,Athlete_323,Swimming,Swimming Event 5,Silver
1988,Germany,Athlete_454,Rowing,Rowing Event 4,Gold
1988,UK,Athlete_272,Fencing,Fencing Event 10,Silver
1988,Germany,Athlete_48,Boxing,Boxing Event 4,Gold
1988,Australia,Athlete_278,Fencing,Fencing Event 4,Bronze
1988,France,Athlete_42,Cycling,Cycling Event 6,Silver
1988,Canada,Athlete_346,Wrestling,Wrestling Event 3,Bronze
1988,France,Athlete_213,Judo,Judo Event 9,Gold
1988,Italy,Athlete_212,Fencing,Fencing Event 8,Silver
1988,Italy,Athlete_434,Swimming,Swimming Event 3,Silver
1988,Japan,Athlete_84,Cycling,Cycling Event 10,Gold
1988,USA,Athlete_188,Cycling,Cycling Event 3,Bronze
1988,Italy,Athlete_282,Shooting,Shooting Event 9,Silver
1988,UK,Athlete_236,Wrestling,Wrestling Event 3,Silver
1988,USA,Athlete_113,Judo,Judo Event 4,Silver
1988,Russia,Athlete_124,Athletics,Athletics Event 2,Silver
1988,Russia,Athlete_248,Gymnastics,Gymnastics Event 8,Silver
1988,USA,Athlete_184,Gymnastics,Gymnastics Event 7,Gold
1988,France,Athlete_279,Wrestling,Wrestling Event 5,Gold
1988,Russia,Athlete_16,Fencing,Fencing Event 6,Gold
1988,Canada,Athlete_461,Fencing,Fencing Event 5,Silver
1988,Japan,Athlete_257,Gymnastics,Gymnastics Event 1,Gold
1988,France,Athlete_407,Wrestling,Wrestling Event 2,Silver
1988,Japan,Athlete_272,Rowing,Rowing Event 6,Bronze
1988,UK,Athlete_355,Fencing,Fencing Event 5,Silver
1988,USA,Athlete_486,Athletics,Athletics Event 3,Silver
1988,Japan,Athlete_444,Shooting,Shooting Event 5,Bronze
1988,Japan,Athlete_72,Shooting,Shooting Event 3,Silver
1988,Italy,Athlete_4,Rowing,Rowing Event 7,Bronze
1988,Italy,Athlete_109,Swimming,Swimming Event 3,Gold
1988,Italy,Athlete_8,Gymnastics,Gymnastics Event 8,Gold
1988,France,Athlete_185,Boxing,Boxing Event 9,Gold
1988,Italy,Athlete_148,Judo,Judo Event 2,Bronze
1988,Germany,Athlete_117,Shooting,Shooting Event 1,Bronze
1988,Italy,Athlete_36,Fencing,Fencing Event 7,Gold
1988,Canada,Athlete_96,Gymnastics,Gymnastics Event 8,Gold
1988,China,Athlete_181,Wrestling,Wrestling Event 2,Bronze
1988,Italy,Athlete_21,Rowing,Rowing Event 5,Gold
1988,Canada,Athlete_314,Swimming,Swimming Event 1,Gold
1988,Germany,Athlete_67,Gymnastics,Gymnastics Event 5,Bronze
1988,UK,Athlete_183,Athletics,Athletics Event 2,Bronze
1988,France,Athlete_87,Fencing,Fencing Event 3,Bronze
1988,Italy,Athlete_96,Athletics,Athletics Event 3,Silver
1988,Germany,Athlete_148,Swimming,Swimming Event 3,Gold
1988,Germany,Athlete_218,Judo,Judo Event 3,Silver
1988,USA,Athlete_125,Gymnastics,Gymnastics Event 9,Bronze
1988,Japan,Athlete_87,Cycling,Cycling Event 6,Silver
1988,Japan,Athlete_383,Boxing,Boxing Event 7,Gold
1988,France,Athlete_479,Gymnastics,Gymnastics Event 4,Gold
1988,Russia,Athlete_425,Athletics,Athletics Event 8,Gold
1988,France,Athlete_320,Swimming,Swimming Event 7,Silver
1988,Russia,Athlete_110,Wrestling,Wrestling Event 2,Bronze
1988,UK,Athlete_52,Rowing,Rowing Event 7,Silver
1988,Italy,Athlete_232,Wrestling,Wrestling Event 5,Silver
1988,Germany,Athlete_425,Gymnastics,Gymnastics Event 1,Silver
1988,UK,Athlete_315,Shooting,Shooting Event 9,Bronze
1988,UK,Athlete_221,Rowing,Rowing Event 1,Silver
1988,China,Athlete_217,Swimming,Swimming Event 5,Gold
1988,USA,Athlete_158,Fencing,Fencing Event 2,Gold
1988,Canada,Athlete_184,Athletics,Athletics Event 2,Gold
1988,Germany,Athlete_317,Fencing,Fencing Event 9,Silver
1988,UK,Athlete_354,Fencing,Fencing Event 1,Gold
1988,Germany,Athlete_472,Rowing,Rowing Event 8,Bronze
1988,USA,Athlete_73,Wrestling,Wrestling Event 3,Silver
1988,Russia,Athlete_362,Swimming,Swimming Event 9,Gold
1988,USA,Athlete_255,Wrestling,Wrestling Event 5,Gold
1988,UK,Athlete_448,Athletics,Athletics Event 2,Bronze
1988,UK,Athlete_422,Judo,Judo Event 8,Bronze
1988,China,Athlete_486,Shooting,Shooting Event 10,Bronze
1988,USA,Athlete_227,Cycling,Cycling Event 6,Silver
1988,Canada,Athlete_469,Fencing,Fencing Event 9,Gold
1988,Russia,Athlete_144,Swimming,Swimming Event 1,Silver
1988,Canada,Athlete_130,Judo,Judo Event 2,Silver
1988,Russia,Athlete_44,Judo,Judo Event 6,Bronze
1988,Australia,Athlete_197,Wrestling,Wrestling Event 9,Silver
1988,Germany,Athlete_438,Fencing,Fencing Event 10,Bronze
1988,China,Athlete_127,Rowing,Rowing Event 2,Silver
1988,Germany,Athlete_214,Fencing,Fencing Event 2,Gold
1988,Australia,Athlete_261,Judo,Judo Event 2,Silver
1988,Germany,Athlete_4,Fencing,Fencing Event 9,Silver
1988,France,Athlete_406,Gymnastics,Gymnastics Event 4,Silver
1988,Japan,Athlete_315,Fencing,Fencing Event 2,Gold
1988,Canada,Athlete_359,Fencing,Fencing Event 6,Silver
1988,Japan,Athlete_343,Fencing,Fencing Event 6,Silver
1988,Canada,Athlete_418,Rowing,Rowing Event 5,Bronze
1988,Russia,Athlete_55,Cycling,Cycling Event 8,Silver
1988,Germany,Athlete_259,Rowing,Rowing Event 2,Silver
1988,China,Athlete_382,Swimming,Swimming Event 1,Gold
1988,Canada,Athlete_201,Athletics,Athletics Event 3,Bronze
1988,Japan,Athlete_423,Athletics,Athletics Event 6,Silver
1988,Canada,Athlete_264,Judo,Judo Event 5,Gold
1988,UK,Athlete_233,Fencing,Fencing Event 9,Gold
1988,Australia,Athlete_369,Shooting,Shooting Event 7,Gold
1988,Canada,Athlete_11,Judo,Judo Event 9,Silver
1988,Italy,Athlete_492,Swimming,Swimming Event 5,Gold
1988,China,Athlete_500,Fencing,Fencing Event 9,Bronze
1988,China,Athlete_448,Rowing,Rowing Event 10,Silver
1988,UK,Athlete_468,Fencing,Fencing Event 1,Gold
1988,UK,Athlete_171,Fencing,Fencing Event 1,Bronze
1988,China,Athlete_444,Judo,Judo Event 9,Bronze
1988,Canada,Athlete_381,Gymnastics,Gymnastics Event 9,Gold
1988,USA,Athlete_168,Gymnastics,Gymnastics Event 8,Bronze
1988,France,Athlete_298,Rowing,Rowing Event 1,Bronze
1988,Japan,Athlete_135,Wrestling,Wrestling Event 10,Bronze
1988,UK,Athlete_138,Fencing,Fencing Event 3,Gold
1988,Japan,Athlete_7,Cycling,Cycling Event 7,Gold
1988,Russia,Athlete_317,Wrestling,Wrestling Event 4,Bronze
1988,UK,Athlete_316,Gymnastics,Gymnastics Event 5,Bronze
1988,China,Athlete_380,Swimming,Swimming Event 1,Bronze
1988,France,Athlete_188,Gymnastics,Gymnastics Event 4,Gold
1988,Japan,Athlete_223,Cycling,Cycling Event 3,Gold
1988,UK,Athlete_263,Fencing,Fencing Event 10,Gold
1988,France,Athlete_95,Swimming,Swimming Event 10,Silver
1988,USA,Athlete_154,Boxing,Boxing Event 5,Bronze
1988,Australia,Athlete_407,Judo,Judo Event 6,Bronze
1988,France,Athlete_379,Swimming,Swimming Event 10,Silver
1992,Italy,Athlete_12,Cycling,Cycling Event 3,Bronze
1992,China,Athlete_169,Wrestling,Wrestling Event 8,Bronze
1992,China,Athlete_186,Cycling,Cycling Event 5,Bronze
1992,Italy,Athlete_70,Judo,Judo Event 10,Silver
1992,Australia,Athlete_310,Athletics,Athletics Event 7,Silver
1992,Italy,Athlete_156,Wrestling,Wrestling Event 3,Bronze
1992,Japan,Athlete_112,Wrestling,Wrestling Event 10,Bronze
1992,Russia,Athlete_206,Cycling,Cycling Event 9,Gold
1992,France,Athlete_270,Shooting,Shooting Event 8,Silver
1992,Italy,Athlete_328,Gymnastics,Gymnastics Event 5,Gold
1992,Australia,Athlete_417,Athletics,Athletics Event 4,Silver
1992,Canada,Athlete_438,Athletics,Athletics Event 10,Silver
1992,Japan,Athlete_87,Athletics,Athletics Event 4,Silver
1992,Germany,Athlete_328,Shooting,Shooting Event 3,Gold
1992,China,Athlete_34,Fencing,Fencing Event 1,Gold
1992,Italy,Athlete_69,Wrestling,Wrestling Event 5,Silver
1992,Italy,Athlete_414,Fencing,Fencing Event 1,Gold
1992,Canada,Athlete_32,Athletics,Athletics Event 2,Silver
1992,China,Athlete_20,Boxing,Boxing Event 2,Gold
1992,China,Athlete_443,Cycling,Cycling Event 5,Silver
1992,France,Athlete_478,Rowing,Rowing Event 3,Silver
1992,UK,Athlete_62,Judo,Judo Event 1,Silver
1992,Australia,Athlete_194,Shooting,Shooting Event 1,Silver
1992,China,Athlete_170,Boxing,Boxing Event 3,Silver
1992,Russia,Athlete_84,Cycling,Cycling Event 1,Gold
1992,China,Athlete_249,Fencing,Fencing Event 9,Gold
1992,Japan,Athlete_39,Shooting,Shooting Event 6,Bronze
1992,USA,Athlete_318,Boxing,Boxing Event 3,Gold
1992,Russia,Athlete_334,Judo,Judo Event 6,Bronze
1992,France,Athlete_132,Rowing,Rowing Event 5,Silver
1992,Germany,Athlete_239,Rowing,Rowing Event 6,Gold
1992,Canada,Athlete_188,Fencing,Fencing Event 7,Silver
1992,France,Athlete_88,Wrestling,Wrestling Event 9,Bronze
1992,China,Athlete_199,Judo,Judo Event 6,Silver
1992,Canada,Athlete_86,Judo,Judo Event 6,Silver
1992,China,Athlete_14,Swimming,Swimming Event 3,Gold
1992,France,Athlete_123,Cycling,Cycling Event 7,Bronze
1992,Canada,Athlete_119,Shooting,Shooting Event 6,Gold
1992,Canada,Athlete_111,Shooting,Shooting Event 5,Bronze
1992,USA,Athlete_382,Fencing,Fencing Event 6,Bronze
1992,Canada,Athlete_389,Fencing,Fencing Event 5,Bronze
1992,USA,Athlete_374,Wrestling,Wrestling Event 6,Silver
1992,Italy,Athlete_106,Rowing,Rowing Event 4,Silver
1992,Japan,Athlete_136,Shooting,Shooting Event 8,Silver
1992,Italy,Athlete_222,Rowing,Rowing Event 6,Bronze
1992,France,Athlete_164,Boxing,Boxing Event 5,Silver
1992,Italy,Athlete_18,Rowing,Rowing Event 8,Bronze
1992,China,Athlete_378,Boxing,Boxing Event 6,Gold
1992,USA,Athlete_315,Judo,Judo Event 10,Gold
1992,Canada,Athlete_111,Wrestling,Wrestling Event 1,Bronze
1992,France,Athlete_60,Cycling,Cycling Event 5,Bronze
1992,Canada,Athlete_343,Rowing,Rowing Event 2,Silver
1992,Japan,Athlete_220,Boxing,Boxing Event 1,Gold
1992,China,Athlete_481,Gymnastics,Gymnastics Event 3,Silver
1992,Germany,Athlete_14,Wrestling,Wrestling Event 7,Silver
1992,Australia,Athlete_490,Athletics,Athletics Event 10,Bronze
1992,Italy,Athlete_358,Boxing,Boxing Event 1,Silver
1992,Japan,Athlete_366,Wrestling,Wrestling Event 1,Silver
1992,Canada,Athlete_222,Swimming,Swimming Event 6,Gold
1992,USA,Athlete_395,Boxing,Boxing Event 3,Gold
1992,Australia,Athlete_17,Wrestling,Wrestling Event 5,Silver
1992,Australia,Athlete_72,Wrestling,Wrestling Event 6,Bronze
1992,China,Athlete_38,Fencing,Fencing Event 5,Bronze
1992,USA,Athlete_57,Shooting,Shooting Event 4,Gold
1992,Japan,Athlete_399,Swimming,Swimming Event 1,Bronze
1992,Italy,Athlete_408,Boxing,Boxing Event 9,Gold
1992,China,Athlete_23,Swimming,Swimming Event 7,Silver
1992,China,Athlete_196,Boxing,Boxing Event 5,Bronze
1992,Germany,Athlete_63,Rowing,Rowing Event 8,Silver
1992,Germany,Athlete_321,Swimming,Swimming Event 1,Silver
1992,Japan,Athlete_259,Athletics,Athletics Event 10,Bronze
1992,China,Athlete_319,Gymnastics,Gymnastics Event 2,Silver
1992,France,Athlete_330,Judo,Judo Event 7,Silver
1992,Japan,Athlete_63,Wrestling,Wrestling Event 5,Silver
1992,France,Athlete_17,Cycling,Cycling Event 3,Silver
1992,Australia,Athlete_74,Fencing,Fencing Event 3,Gold
1992,China,Athlete_5,Athletics,Athletics Event 10,Silver
1992,UK,Athlete_33,Cycling,Cycling Event 2,Silver
1992,China,Athlete_127,Judo,Judo Event 9,Silver
1992,Russia,Athlete_291,Fencing,Fencing Event 5,Silver
1992,Japan,Athlete_283,Fencing,Fencing Event 8,Gold
1992,Japan,Athlete_240,Cycling,Cycling Event 8,Gold
1992,Canada,Athlete_379,Gymnastics,Gymnastics Event 8,Silver
1992,Germany,Athlete_153,Swimming,Swimming Event 1,Bronze
1992,France,Athlete_263,Boxing,Boxing Event 6,Bronze
1992,Japan,Athlete_128,Gymnastics,Gymnastics Event 5,Bronze
1992,USA,Athlete_432,Fencing,Fencing Event 6,Gold
1992,France,Athlete_335,Shooting,Shooting Event 9,Gold
1992,France,Athlete_351,Gymnastics,Gymnastics Event 9,Gold
1992,Germany,Athlete_88,Fencing,Fencing Event 6,Gold
1992,UK,Athlete_307,Fencing,Fencing Event 2,Silver
1992,Australia,Athlete_413,Shooting,Shooting Event 3,Bronze
1992,USA,Athlete_477,Boxing,Boxing Event 9,Gold
1992,China,Athlete_378,Fencing,Fencing Event 7,Silver
1992,Russia,Athlete_15,Cycling,Cycling Event 2,Bronze
1992,Japan,Athlete_236,Swimming,Swimming Event 10,Gold
1992,Japan,Athlete_48,Gymnastics,Gymnastics Event 5,Gold
1992,Canada,Athlete_359,Athletics,Athletics Event 6,Bronze
1992,UK,Athlete_304,Boxing,Boxing Event 7,Silver
1992,Japan,Athlete_360,Fencing,Fencing Event 2,Gold
1992,Russia,Athlete_202,Judo,Judo Event 6,Gold
1992,USA,Athlete_486,Judo,Judo Event 7,Silver
1992,USA,Athlete_460,Fencing,Fencing Event 6,Bronze
1992,Italy,Athlete_377,Boxing,Boxing Event 6,Gold
1992,USA,Athlete_97,Wrestling,Wrestling Event 4,Silver
1992,France,Athlete_191,Fencing,Fencing Event 5,Silver
1992,Australia,Athlete_409,Rowing,Rowing Event 6,Gold
1992,Russia,Athlete_285,Rowing,Rowing Event 8,Gold
1992,UK,Athlete_376,Swimming,Swimming Event 2,Silver
1992,Germany,Athlete_79,Wrestling,Wrestling Event 9,Gold
1992,UK,Athlete_230,Rowing,Rowing Event 6,Gold
1992,Japan,Athlete_361,Swimming,Swimming Event 5,Bronze
1992,UK,Athlete_8,Swimming,Swimming Event 8,Gold
1992,Australia,Athlete_91,Fencing,Fencing Event 3,Bronze
1992,Italy,Athlete_269,Rowing,Rowing Event 1,Gold
1992,Japan,Athlete_27,Gymnastics,Gymnastics Event 6,Bronze
1992,China,Athlete_211,Gymnastics,Gymnastics Event 4,Bronze
1992,Italy,Athlete_315,Wrestling,Wrestling Event 5,Silver
1992,Canada,Athlete_348,Swimming,Swimming Event 8,Silver
1992,Germany,Athlete_337,Wrestling,Wrestling Event 2,Bronze
1992,Canada,Athlete_140,Gymnastics,Gymnastics Event 4,Silver
1992,Canada,Athlete_275,Boxing,Boxing Event 1,Bronze
1992,Japan,Athlete_177,Boxing,Boxing Event 6,Bronze
1992,Japan,Athlete_483,Fencing,Fencing Event 6,Bronze
1992,Russia,Athlete_316,Judo,Judo Event 10,Bronze
1992,China,Athlete_57,Gymnastics,Gymnastics Event 1,Silver
1992,Australia,Athlete_380,Judo,Judo Event 5,Silver
1992,Germany,Athlete_233,Rowing,Rowing Event 7,Silver
1992,UK,Athlete_145,Swimming,Swimming Event 6,Gold
1992,Japan,Athlete_196,Cycling,Cycling Event 5,Silver
1992,UK,Athlete_390,Boxing,Boxing Event 8,Gold
1992,Germany,Athlete_415,Fencing,Fencing Event 6,Gold
1992,Russia,Athlete_318,Fencing,Fencing Event 2,Bronze
1992,Japan,Athlete_457,Swimming,Swimming Event 5,Silver
1992,Germany,Athlete_174,Judo,Judo Event 5,Gold
1992,USA,Athlete_178,Fencing,Fencing Event 1,Gold
1992,Japan,Athlete_112,Rowing,Rowing Event 2,Gold
1992,Canada,Athlete_228,Shooting,Shooting Event 10,Bronze
1992,Italy,Athlete_235,Cycling,Cycling Event 4,Bronze
1992,UK,Athlete_258,Rowing,Rowing Event 2,Bronze
1992,Italy,Athlete_82,Cycling,Cycling Event 2,Gold
1992,Japan,Athlete_217,Athletics,Athletics Event 10,Bronze
1992,Russia,Athlete_466,Boxing,Boxing Event 1,Gold
1992,UK,Athlete_78,Swimming,Swimming Event 3,Gold
1992,Italy,Athlete_337,Cycling,Cycling Event 10,Bronze
1992,China,Athlete_247,Swimming,Swimming Event 8,Gold
1992,Italy,Athlete_324,Boxing,Boxing Event 8,Bronze
1992,USA,Athlete_137,Athletics,Athletics Event 8,Silver
1992,Australia,Athlete_328,Swimming,Swimming Event 10,Gold
1992,Germany,Athlete_370,Shooting,Shooting Event 4,Gold
1992,USA,Athlete_257,Swimming,Swimming Event 2,Bronze
1992,France,Athlete_66,Judo,Judo Event 4,Gold
1992,Germany,Athlete_86,Judo,Judo Event 2,Silver
1992,China,Athlete_223,Cycling,Cycling Event 4,Silver
1992,UK,Athlete_259,Fencing,Fencing Event 7,Gold
1992,UK,Athlete_474,Gymnastics,Gymnastics Event 1,Bronze
1992,Russia,Athlete_342,Rowing,Rowing Event 9,Silver
1992,China,Athlete_297,Shooting,Shooting Event 1,Gold
1992,China,Athlete_273,Swimming,Swimming Event 2,Gold
1992,China,Athlete_63,Gymnastics,Gymnastics Event 9,Silver
1992,UK,Athlete_35,Swimming,Swimming Event 5,Gold
1992,Russia,Athlete_212,Gymnastics,Gymnastics Event 3,Bronze
1992,Australia,Athlete_396,Rowing,Rowing Event 7,Bronze
1992,Canada,Athlete_1,Gymnastics,Gymnastics Event 4,Bronze
1992,Germany,Athlete_356,Fencing,Fencing Event 6,Silver
1992,USA,Athlete_252,Judo,Judo Event 9,Bronze
1992,Canada,Athlete_27,Boxing,Boxing Event 1,Silver
1992,USA,Athlete_86,Shooting,Shooting Event 4,Silver
1992,Japan,Athlete_90,Fencing,Fencing Event 8,Gold
1992,Canada,Athlete_252,Boxing,Boxing Event 7,Gold
1992,Germany,Athlete_166,Boxing,Boxing Event 6,Gold
1992,Canada,Athlete_321,Judo,Judo Event 2,Bronze
1992,Canada,Athlete_454,Cycling,Cycling Event 7,Bronze
1992,China,Athlete_51,Cycling,Cycling Event 7,Bronze
1992,Canada,Athlete_418,Shooting,Shooting Event 1,Bronze
1992,China,Athlete_131,Wrestling,Wrestling Event 4,Silver
1992,Japan,Athlete_293,Wrestling,Wrestling Event 3,Silver
1992,Japan,Athlete_351,Rowing,Rowing Event 6,Bronze
1992,China,Athlete_428,Fencing,Fencing Event 4,Silver
1992,Australia,Athlete_24,Swimming,Swimming Event 1,Bronze
1992,Canada,Athlete_53,Athletics,Athletics Event 7,Silver
1992,Australia,Athlete_263,Swimming,Swimming Event 2,Gold
1992,Russia,Athlete_113,Judo,Judo Event 2,Bronze
1992,USA,Athlete_453,Cycling,Cycling Event 9,Bronze
1992,France,Athlete_50,Gymnastics,Gymnastics Event 4,Silver
1992,Japan,Athlete_209,Rowing,Rowing Event 2,Bronze
1992,Canada,Athlete_320,Fencing,Fencing Event 2,Silver
1992,USA,Athlete_63,Athletics,Athletics Event 5,Silver
1992,UK,Athlete_452,Athletics,Athletics Event 2,Bronze
1992,UK,Athlete_186,Swimming,Swimming Event 10,Silver
1992,Germany,Athlete_493,Fencing,Fencing Event 8,Silver
1992,China,Athlete_494,Boxing,Boxing Event 9,Silver
1992,Japan,Athlete_59,Athletics,Athletics Event 6,Bronze
1992,France,Athlete_426,Boxing,Boxing Event 6,Gold
1992,Canada,Athlete_154,Athletics,Athletics Event 3,Bronze
1992,China,Athlete_456,Athletics,Athletics Event 9,Bronze
1992,Russia,Athlete_90,Rowing,Rowing Event 5,Bronze
1992,China,Athlete_428,Swimming,Swimming Event 5,Gold
1992,France,Athlete_163,Athletics,Athletics Event 5,Bronze
1992,Russia,Athlete_278,Swimming,Swimming Event 4,Bronze
1996,Italy,Athlete_219,Fencing,Fencing Event 2,Gold
1996,France,Athlete_397,Shooting,Shooting Event 2,Bronze
1996,Canada,Athlete_209,Rowing,Rowing Event 9,Bronze
1996,Canada,Athlete_296,Gymnastics,Gymnastics Event 3,Bronze
1996,UK,Athlete_185,Cycling,Cycling Event 8,Bronze
1996,UK,Athlete_434,Swimming,Swimming Event 4,Silver
1996,Japan,Athlete_452,Shooting,Shooting Event 5,Gold
1996,Italy,Athlete_366,Swimming,Swimming Event 8,Bronze
1996,Italy,Athlete_7,Athletics,Athletics Event 8,Bronze
1996,Russia,Athlete_393,Cycling,Cycling Event 4,Silver
1996,Germany,Athlete_90,Boxing,Boxing Event 4,Bronze
1996,Italy,Athlete_388,Wrestling,Wrestling Event 7,Bronze
1996,Japan,Athlete_454,Athletics,Athletics Event 9,Bronze
1996,USA,Athlete_401,Gymnastics,Gymnastics Event 7,Bronze
1996,USA,Athlete_252,Shooting,Shooting Event 10,Gold
1996,Japan,Athlete_492,Wrestling,Wrestling Event 4,Silver
1996,Italy,Athlete_88,Boxing,Boxing Event 1,Gold
1996,France,Athlete_118,Judo,Judo Event 6,Bronze
1996,USA,Athlete_366,Shooting,Shooting Event 8,Silver
1996,UK,Athlete_21,Fencing,Fencing Event 10,Silver
1996,France,Athlete_394,Gymnastics,Gymnastics Event 7,Gold
1996,Japan,Athlete_31,Gymnastics,Gymnastics Event 1,Gold
1996,Australia,Athlete_122,Rowing,Rowing Event 2,Gold
1996,Canada,Athlete_451,Athletics,Athletics Event 6,Gold
1996,USA,Athlete_365,Gymnastics,Gymnastics Event 10,Silver
1996,France,Athlete_276,Fencing,Fencing Event 9,Bronze
1996,UK,Athlete_235,Boxing,Boxing Event 2,Silver
1996,USA,Athlete_61,Gymnastics,Gymnastics Event 6,Bronze
1996,China,Athlete_414,Athletics,Athletics Event 5,Gold
1996,Russia,Athlete_142,Cycling,Cycling Event 5,Bronze
1996,USA,Athlete_20,Wrestling,Wrestling Event 7,Silver
1996,Russia,Athlete_94,Gymnastics,Gymnastics Event 9,Bronze
1996,France,Athlete_450,Cycling,Cycling Event 6,Gold
1996,UK,Athlete_390,Gymnastics,Gymnastics Event 3,Gold
1996,Russia,Athlete_490,Swimming,Swimming Event 9,Bronze
1996,France,Athlete_241,Swimming,Swimming Event 10,Silver
1996,Australia,Athlete_303,Rowing,Rowing Event 4,Bronze
1996,France,Athlete_396,Fencing,Fencing Event 9,Bronze
1996,Germany,Athlete_459,Gymnastics,Gymnastics Event 9,Bronze
1996,USA,Athlete_276,Cycling,Cycling Event 7,Gold
1996,Russia,Athlete_278,Boxing,Boxing Event 3,Gold
1996,UK,Athlete_238,Boxing,Boxing Event 9,Gold
1996,Germany,Athlete_377,Wrestling,Wrestling Event 7,Silver
1996,Canada,Athlete_241,Athletics,Athletics Event 3,Bronze
1996,Russia,Athlete_319,Cycling,Cycling Event 3,Bronze
1996,Japan,Athlete_336,Shooting,Shooting Event 2,Gold
1996,Russia,Athlete_184,Judo,Judo Event 5,Silver
1996,Australia,Athlete_344,Rowing,Rowing Event 9,Gold
1996,Germany,Athlete_451,Wrestling,Wrestling Event 4,Silver
1996,Japan,Athlete_167,Fencing,Fencing Event 3,Bronze
1996,Canada,Athlete_39,Wrestling,Wrestling Event 9,Gold
1996,Italy,Athlete_6,Athletics,Athletics Event 10,Bronze
1996,Germany,Athlete_477,Gymnastics,Gymnastics Event 5,Gold
1996,Italy,Athlete_179,Gymnastics,Gymnastics Event 7,Silver
1996,Australia,Athlete_227,Gymnastics,Gymnastics Event 4,Gold
1996,Canada,Athlete_478,Boxing,Boxing Event 10,Silver
1996,Australia,Athlete_386,Shooting,Shooting Event 8,Gold
1996,Russia,Athlete_290,Shooting,Shooting Event 7,Bronze
1996,UK,Athlete_47,Fencing,Fencing Event 9,Bronze
1996,Canada,Athlete_47,Judo,Judo Event 8,Bronze
1996,Australia,Athlete_51,Boxing,Boxing Event 10,Gold
1996,Canada,Athlete_154,Fencing,Fencing Event 5,Bronze
1996,China,Athlete_314,Gymnastics,Gymnastics Event 3,Silver
1996,UK,Athlete_483,Cycling,Cycling Event 4,Gold
1996,Japan,Athlete_497,Swimming,Swimming Event 3,Silver
1996,Japan,Athlete_217,Shooting,Shooting Event 5,Gold
